"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"阿加纳萨喷火术","XGE","2环","动作","即效","塑能","30 尺","声音、姿势、材料 (一片红龙的鳞片)","术士、法师","一道长30尺，宽5尺线形的翻涌烈火从你向一个你选定的方向蔓延。在该线段中的生物必须进行一次敏捷豁免。若豁免失败，生物将受到3d8的火焰伤害，豁免成功则只受到一半的伤害。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d8。"
"艾伐黑触手","PHB","4环","动作","专注，至多 1 分钟","咒法","90 尺","声音、姿势、材料 (一根来自巨章鱼或巨鱿鱼的触手)","法师","乌黑蠕动的触手将充斥在射程内你所能看见的一处20尺边长的方形地面。在法术持续期间，这些触手将使区域内的地面变成困难地形。当一个生物在一个回合中第一次进入该区域，或在该处开始它的回合，则该生物必须成功通过一次敏捷豁免，否则受到3d6钝击伤害并被这些触手束缚直到此法术结束。一个已经被这些触手束缚的生物会在该区域开始它回合的时候受到3d6钝击伤害。一个被这些触手束缚的生物可以使用它的动作以进行一次对抗你法术豁免DC的力量或敏捷检定（由它决定）。若检定成功，则它从触手中被释放。",""
"艾嘉西斯之铠","PHB","1环","动作","1 小时","防护","自身","声音、姿势、材料 (一杯水)","契术师","一个防护性的魔法立场环绕着你，呈现如鬼魅似的寒霜覆盖着你和你的装备。你在法术持续时间内获得5点临时生命值。如果一个生物在你拥有这些生命值时以近战攻击命中了你，该生物将受到5点冷冻伤害。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，临时生命值和冷冻伤害都会增加5点。"
"安定心神","PHB","2环","动作","专注，至多 1 分钟","惑控","60 尺","声音、姿势","吟游诗人、牧师","你尝试压抑一群人的强烈情绪。处于射程内以你所选一点为圆心20尺半径球体内的每个类人生物都必须进行一次魅力豁免；一个生物可以自愿选择失败于该豁免检定。若一个生物豁免失败，从以下两个效果中选择一个。你可以压抑任何导致目标被魅惑或恐惧的效果。当此法术结束时，只要被压抑效果的持续时间尚未到期，则它将会继续发挥效果。或者，你可以使一个目标对你所选择，且它原本敌对的生物变得不感兴趣。若目标被攻击、被法术伤害、或目击它的任何朋友被伤害，则这个不感兴趣的态度将会结束。当此法术结束，除非DM另行裁决，否则该生物的态度将变回敌对。",""
"暗示术","PHB","2环","动作","专注，至多 8 小时","惑控","30 尺","声音、材料 (一只蛇的舌头和一小块蜂窝或一滴甜油)","吟游诗人、术士、契术师、法师","你提议一套行动（限制为一到两个句子），并魔法性地影响射程内一个你所能看见，且它能听见和理解你的生物。不会被魅惑的生物免疫于这个效果。这项提议的措辞必须让这套行动听起来合情合理。要求该名生物刺自己、扑向长矛、自焚、或其他明显有害的行动将会使此法术结束。目标必须进行一次感知豁免。若豁免失败，则它会尽它的全力去实行你所描述的行动。这组行动可以在整个法术持续期间被持续。若被提议的行动在更短的时间内被完成，则法术将会在目标完成它被要求去做的事时结束。你也可以指定一些在法术持续期间会触发特定行动的特定条件。举例来说，你可以暗示一位骑士将她的战马送给她第一个遇见的乞丐。如果在法术时效结束前没有满足条件，则该行动不会被运行。若你或你的任何同伴伤害了目标，则此法术结束。",""
"暗影衍体召唤术","TCE","3环","动作","专注，至多 1 小时","咒法","90 尺","声音、姿势、材料 (包有眼泪的宝石，价值至少 300gp)","","你唤来一个暗影灵魄。其在施法距离内你可见的一个未占据位置化为实体。这一实体使用下面的幽影灵魄的数据。当你施展法术时，当你施展法术时，从暴怒，绝望或恐惧中选择一种情感。此生物的外形为一个受你所选情感所影响的畸形二足生物，其资料表中的部分特性也受此影响。当其生命值降至0或法术结束时，生物消失。该生物在法术持续时间内对你和你的同伴们友好。在战斗中，该生物使用你的先攻，但在你回合结束后立即行动。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行闪避动作并远离危险。","升环施法效应. At Higher Levels 使用四环或更高法术位施展该法术时，该生物数据中使用更高的法术环数。"
"奥图狂舞术","PHB","6环","动作","专注，至多 1 分钟","惑控","30 尺","声音","吟游诗人、法师","选择射程内你所能看见的一个生物。目标将在法术持续期间于原地开始跳起滑稽的舞步：摇摆曳步、踢跶双脚、蹦蹦跳跳。不会被魅惑的生物免疫于这个法术。一个跳舞中的生物必须使用它所有的移动速度在原地跳舞，而不能离开它所在的位置，且在敏捷豁免和攻击检定中具有劣势。当目标受到此法术的影响时，其他生物对它进行的攻击检定将具有优势。以一个动作，跳舞中的生物可以进行一次感知豁免以恢复自身的控制。若豁免成功，则此法术结束。",""
"暴风法球","XGE","4环","动作","专注，至多 1 分钟","塑能","150 尺","声音、姿势","术士、法师","以射程内一个你所选择的点为中心，一个20尺半径的呼啸狂风球体将突然出现。这个球体在法术持续期间内持续存在。每个球体内的生物在球体出现或在该处结束它回合时，都必须成功通过一次力量豁免，否则受到2d6钝击伤害。这个球体所在的空间视为困难地形。直到此法术结束前，你可以在你的每个回合使用一个附赠动作，使一道闪电从球体中心跃向一个你所选择距离中心60尺内的生物。进行一次远程法术攻击。若该目标处于球体内，则你在该攻击检定中具有优势。若命中，目标将受到4d6闪电伤害。距离球体30尺内的生物在进行用以聆听的感知（察觉）检定具有劣势。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，各个效果的伤害便会再增加1d6。"
"崩坏现实","EGW","8环","动作","专注，至多 1 分钟","咒法","60 尺","声音、姿势、材料 (一个水晶棱镜)","","你将现实与时间线之间的壁垒粉碎，使一个生物陷入混沌与疯狂。目标必须通过一个感知豁免，否则将无法执行任何反应直到法术结束。被影响的生物必须在其回合开始时掷一个d10，其结果决定目标身上发生了什么。参照下方表格""崩坏现实效果：在其回合结束时，受影响的生物能重复其感知豁免，若成功，则法术结束。崩坏现实效果d10效果1-2遥远国度之瞥。目标受到6d12心灵伤害并且陷入震慑到本轮结束。3-5崩碎裂缝。目标必须通过一个敏捷豁免，若失败则受到8d12力场伤害，若豁免成功则受到一半伤害。6-8虫洞。该目标与其身上所着装、携带的一切东西被传送到其30尺内你能看到的未被占据的空间。目标受到10d12力场伤害并倒地。9-10暗虚之冻。目标受到10d12冷冻伤害并且目盲到本回合结束。",""
"匕首之云","PHB","2环","动作","专注，至多 1 分钟","咒法","60 尺","声音、姿势、材料 (一块玻璃裂片)","吟游诗人、术士、契术师、法师","你让射程中你所选择的一点为中心的5尺边长立方体的空间内充满着旋转飞舞的匕首。一个在此法术区域中开始它的回合、或在一个回合中第一次进入该区域的生物将会受到4d4挥砍伤害。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加2d4。"
"毕格比之掌","PHB","5环","动作","专注，至多 1 分钟","塑能","120 尺","声音、姿势、材料 (一个蛋壳和一只蛇皮手套)","奇械师、奇械师 (Revisited)、法师","你在射程内你所能看见的一处未被占据空间创造出一个大型，闪烁半透明的力场手掌。这只手掌将在法术持续期间内持续存在，且会依据你的命令移动，模仿你手掌的动作。这只手掌是一个具有AC 20，且生命值等同于你生命值最大值的物体。若它的生命值归零，则此法术结束。它的力量属性为26 (+8)且敏捷属性为10 (+0)。这只手并不会占据它的所在空间。当你施放此法术时，或在你后续的回合以一个附赠动作，你可以移动这只手掌最多60尺距离，并让它制造出以下其中一种效果。 金刚拳. 这只手掌袭向距离它5尺内的一个生物或物体。使用你的游戏数据进行一次近战法术攻击。若命中，目标将受到4d8力场伤害。 飞击掌. 这只手掌尝试推撞距离它5尺内的一个生物到你所选择的一个方向。使用这只手掌的力量值进行一次检定以对抗目标的力量（运动）检定。若目标的体型为中型或更小，则你在该检定中具有优势。若你成功，则这只手掌将把目标推动最多5尺加上等同你施法属性调整值五倍尺的距离。这只手掌会跟随目标移动以维持与它距离5尺内。 擒拿掌. 这只手掌尝试擒抱距离它5尺内的一个体型为巨型或更小的生物。你使用这只手掌的力量值以处理擒抱。若目标的体型为中型或更小，则你在该检定中具有优势。当这只手掌擒抱住目标时，你可以使用一个附赠动作以让手掌挤压它。当你这么做时，目标将受到等同于2d6 + 你的施法属性调整值的钝击伤害。 护身掌. 这只手掌阻挡在你和一个你所选择的生物之间，直到你给这只手一个不同的命令。这只手将移动以维持在你和目标之间，使你对目标具有半掩护。若目标的力量值低于或等于这只手掌的力量值，则它将无法移动穿过这只手掌所在的空间。若目标的力量值超过这只手的力量值，则目标可以向着你移动穿过这只手掌所在的空间，但该空间对目标视作困难地形。","升环施法效应. At Higher Levels 当你使用6环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，金刚拳选项造成的伤害便会再增加2d8，且擒拿掌所造成的伤害也会再增加2d6。"
"变巨/缩小术","PHB","2环","动作","专注，至多 1 分钟","变化","30 尺","声音、姿势、材料 (一撮铁粉)","奇械师、奇械师、奇械师 (Revisited)、术士、法师","你使射程内你所能看见的一个生物或物体在法术持续期间变大或变小。选择一个生物或一个未被穿戴或携带的物体。若目标非自愿，则它可以进行一次体质豁免。若豁免成功，则此法术无效。若目标是一个生物，则所有它所穿戴或携带的东西都会跟着它一起改变大小。任何道具一旦从受影响生物身上掉落，就会恢复成原本的大小。 变巨. 目标的各边尺寸变为两倍，且它的重量变为八倍。这个变化会让它的体型增长一级—例如从中型变大型。若空间不足以让目标尺寸增长到两倍，则该生物或物体将会长到该空间可容纳的最大尺寸。直到法术结束前，目标在力量检定和力量豁免上具有优势。目标的武器也会成长到符合它的新体型。当这些武器被变巨时，目标使用他们进行的攻击将造成1d4的额外伤害。 缩小. 目标的各边尺寸变为一半，且它的重量变为原本的八分之一。这个变化会让它的体型缩减一级—例如从中型变小型。直到法术结束前，目标在力量检定和力量豁免上具有劣势。目标的武器也会缩小到符合它的新体型。当这些武器被缩小时，目标使用他们进行的攻击将减少1d4的伤害（这不会使伤害减至低于1）。",""
"变形术","PHB","4环","动作","专注，至多 1 小时","变化","60 尺","声音、姿势、材料 (一个毛虫茧)","吟游诗人、德鲁伊、术士、法师","此法术将射程内一个你所能看见的生物转变成一个新的型态。一个非自愿的生物必须进行一次感知豁免以避免此效果。这个效果对变形者或生命值为零的生物没有任何效果。这个转变会在法术持续期间维持，或直到目标的生命值归零或死亡。这个新型态可以是任何挑战等级等于或低于目标挑战等级（或若目标没有挑战等级，则为目标的等级）的野兽。目标的游戏数据，包括心智属性值，都会被所选野兽的数据数据给取代。目标保留它的阵营和个性。目标取用它新型态的生命值。当它回复它原本的型态时，该生物将取回它转变之前的生命值。若它是因为生命值归零而回复，则任何溢出伤害都将被带到它原本的型态，扣减它原本的生命值。只要这个溢出伤害没有让该生物原本的型态生命值归零，它就不会被击倒昏迷。该生物被限制只能进行它新型态天生所能进行的动作，且它无法说话、施放法术、或采取任何其他需要双手或语言的动作。目标的装备将被融入新形态之中。目标无法启动、使用、挥舞、或通过其他方式来从它的装备获得好处。",""
"变造自身","PHB","2环","动作","专注，至多 1 小时","变化","自身","声音、姿势","奇械师、奇械师、奇械师 (Revisited)、术士、法师","你变换成一个不同的型态。当你施放此法术时，选择以下其中一个选项，该效果将在法术持续期间持续存在。在此法术持续期间内，你可以使用一个动作结束该选项的效果，并得到另一个选项的好处。 水中适应. 你使你的身体适应水中环境，长出鳃以及手指间的蹼。你可以在水下呼吸，且获得等同于你步行速度的游泳速度。 改变外貌. 你改变了自己的外貌。你决定自己的外观，包括你的身高、体重、面容细节、声音、发长、肤色、以及（可能有的）显著特征。你可以让自己看起来像是其他种族的一员，但你的角色数值并不会因此改变。你也不能变成与你有着不同体型大小读生物，且你的基本身体轮廓保持原样；举例来说，如果你是两足生物，则你不能使用此法术变为四足生物。在法术持续期间内的任何时候，你可以使用一个动作以这个方法再次改变外貌。 天生武器. 你长出利爪、獠牙、棘刺、角、或其他你所选择的一种天生武器。你的徒手打击将根据你所选的天生武器造成1d6钝击、穿刺、或挥砍伤害，且你熟练于你的徒手打击。最后，该天生武器为魔法武器，且你在使用它进行攻击时的攻击检定和伤害骰上具有+1加值。",""
"冰风暴","PHB","4环","动作","即效","塑能","300 尺","声音、姿势、材料 (一撮灰尘和几滴水)","德鲁伊、术士、法师","一阵冰雹降下许多石般坚硬的冰块，在以射程内一点为中心的20尺半径、40尺高的圆柱体范围内重击地表。每个在圆柱体范围内的生物都必须进行一次敏捷豁免。一个豁免失败的目标将受到2d8钝击伤害以及4d6冷冻伤害，豁免成功则只受到一半的伤害。这些冰雹将使风暴效果内的区域变为困难地形，直到你的下个回合结束。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，钝击伤害便会再增加1d8。"
"冰墙术","PHB","6环","动作","专注，至多 10 分钟","塑能","120 尺","声音、姿势、材料 (一小块石英)","法师","你在射程内一处固体表面上创造出一道冰墙。你可以将它形塑成最多半径10尺的半球体或球体，或形塑成一个最多由十个10尺x10尺板块构成的平坦表面。每个板块都必须与另一个板块相连。这道墙在任何型态的厚度皆为1寸，并会在法术持续期间持续存在。若这道墙在出现时切穿了一个生物所在的空间，则在该区域内的生物将被推到墙的其中一侧，且必须进行一次敏捷豁免。若豁免失败，则该生物将受到10d6冷冻伤害，豁免成功则只受到一半的伤害。这道墙是一个可以被伤害并因此损坏的物体。它具有AC 12，每1寸厚度30点的生命值，且对火焰伤害的易伤。将一块10尺区块墙壁的生命值归零将会摧毁它，并在这道墙占据的空间留下一层刺骨寒气。一个在一个回合第一次移动穿过这层刺骨寒气的生物必须进行一次体质豁免。该生物若豁免失败则受到5d6冷冻伤害，豁免成功则只受到一半的伤害。","升环施法效应. At Higher Levels 当你使用7环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，这道墙出现时所造成的伤害便会再增加2d6，且穿过刺骨寒气所受到的伤害也会再增加1d6。"
"冰刃","XGE","1环","动作","即效","咒法","60 尺","姿势、材料 (一滴水或一小块冰)","德鲁伊、术士、法师","你创造出一块冷冻碎片，并将其甩向射程内的一个生物。对目标进行一次远程法术攻击。若命中，目标将受到1d10穿刺伤害。无论命中与否，碎片都将爆裂。目标和距离它5尺内的每个生物都必须成功通过一次敏捷豁免，否则受到2d6冷冻伤害。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，冷冻伤害便会再增加1d6。"
"卜筮","PHB","2环","1 分钟","即效","预言","自身","声音、姿势、材料 (价值至少25金币，有着特殊记号的细棍、骨头、或类似的标记物)","牧师","借由倒出嵌有宝石的细棍、晃摇龙骨、铺开华丽的卡牌、或利用其他占卜工具，你从另一个世界的存在接受到一个预兆，揭露关于你在接下来30分钟内预计去做的一件具体行动的结果。DM将从以下可能的预兆中选择：福，代表好结果祸，代表坏结果祸福相依，代表有好有坏的结果什么也没有，代表不特别好或坏的结果此法术并不会将任何可能改变结果的潜在环境因素纳入考量，像是施展额外的法术或者同伴的加入或离去。若你在完成下一次长休之前施放此法术两次或以上，则第一次之后的每次施放都会有累积25%的几率导致随机的结果。DM将暗自掷骰决定。",""
"不动物件","EGW","2环","动作","1 小时","变化","触碰","声音、姿势、材料 (至少价值 25gp 的金尘，在施法时消耗。)","","你触摸一个至多不超过10磅的物件，使其魔法般地固定住。你与你施法时指定的生物能够如常移动它。你也可以设置一串密码，当密码在该物件5尺内被念出时，使这个法术暂时被压制1分钟。若该物件被固定在空中，那么它可以至多承载4000磅的重量。更重的负载会使其坠落。另外，一个生物能以其动作进行一个对抗你的法术豁免DC的力量检定。若其成功，则该物件能被其移动10尺。","升环施法效应. At Higher Levels 若你使用四环或五环法术位施展该法术，使该物件移动的检定DC增加5，并且它能够承载8000磅重的负载并持续24小时。如果你用六环或者更高环的法术位施展该法术，那么使该物件移动的检定DC增加10，并且它能够承载20000磅重的负载并一直持续到法术被解除。"
"不灭明焰","PHB","2环","动作","直到 dispelled","塑能","触碰","声音、姿势、材料 (价值50金币的红宝石尘，在施法时消耗)","奇械师、奇械师、奇械师 (Revisited)、牧师、法师","一朵有着等同于火炬亮度的火焰，从你所触碰的一个物体涌出。这个效果看起来就如同寻常火焰，但它并不会创造热能，也不会消耗氧气。不灭明焰可以被掩盖或隐藏，但不会被闷熄或扑灭。",""
"操控风相","XGE","5环","动作","专注，至多 1 小时","变化","300 尺","声音、姿势","德鲁伊、术士、法师","你得以控制射程内你所能看见的一处100尺边长立方体范围内的大气。在你施放此法术时选择下列其中一个效果。该效果将在法术持续期间内持续存在，除非你在后续的回合使用你的动作切换不同的效果。你也可以使用你的动作以暂时的停止该效果，或重启一个你暂停的效果。 狂风. 一阵风在立方体区域内产生，持续的向着一个你所指定的水平方向吹去。你决定这阵风的强度：微风、和风、或强风。若这阵风为和风或强风，则穿过立方体区域、或对立方体区域内目标所进行的远程武器攻击将会在它们的攻击检定中具有劣势。若这阵风为强风，则任何逆风移动的生物每移动一尺都必须花费额外的1尺移动速度。 下沉气流. 你使一道持续吹拂的强风从立方体区域的顶端向下吹去。穿过立方体区域、或对立方体区域内目标所进行的远程武器攻击将会在它们的攻击检定中具有劣势。一个生物若在一个回合中第一次飞入立方体区域、或在飞行状态下于该处开始它的回合，则它必须进行一次力量豁免。若豁免失败，则该生物被击倒伏地。 上升气流. 你在立方体区域内制造一道持续的上升气流，从立方体底部向上升起。在立方体区域内坠落着地的生物只会受到一半的坠落伤害。当处于立方体区域内的一个生物进行垂直跳跃时，该生物可以跳的比原本高最多10尺距离。",""
"操控水体","PHB","4环","动作","专注，至多 10 分钟","变化","300 尺","声音、姿势、材料 (一滴水和一撮粉尘)","牧师、德鲁伊、法师","直到此法术结束前，你控制任何在你所选择的一处各边长最多100尺的立方体空间内的独立水体。你在施放此法术时可以从下列效果中选择任意一个效果。在你的回合以一个动作，你可以重复该效果或选择另一个不同的效果。 淹涨. 你使区域内所有不流动水体的水位提升最多20尺。若该区域内包含了沿岸，则泛滥的水将溢流到旱地上。若你选择了一个有着庞大水体的区域，则你改为创造出一波20尺高的波浪，从区域内一侧行进至另一侧然后撞下。任何在波浪行进路在线的巨型或更小的载具将会被带到另一侧。任何被波浪撞上的巨型或更小的载具将有25%的几率翻覆。水位高度将维持直到此法术结束或你选择了另一个效果。若这个效果制造了一波波浪，则在淹涨的效果持续期间，该波浪将在你的下个回合开始时重现。 分海. 你使区域内的水体分开，并创造出一条壕沟。这条壕沟将横穿此法术的区域，且被分开的水体将会在两侧形成水墙。这条壕沟将维持直到此法术结束或你选择了另一个效果，而水体将接着在下一轮进行的过程中缓缓填补壕沟，直到回复平常的水位。 转向. 你使区域内的流水向你所选择的一个方向移动，即使这会使水流越障碍物、爬上墙面、或其他不可能的方向。区域内的水会按照你的指示移动，然而一旦它移出此法术的区域，它将继续依照当下的地形状况正常流动。水体会持续按照你所选的方向移动，直到此法术结束或你选择了另一个效果。 漩涡. 这个效果需要至少为50平方尺宽和25尺深的水体。你使一道漩涡在该区域的中心成行。这个漩涡将产生一道底部5尺宽，而顶部最多50尺宽的涡流。任何在水中且距离涡流25尺内的生物或物体都将被拉向它10尺距离。一个生物可以借由进行一次对抗你法术豁免DC的力量（运动）检定以尝试游泳远离涡流。当一个生物在一个回合中第一次进入该涡流、或在其中开始它的回合，则它必须进行一次力量豁免。若豁免失败，该生物将受到2d8钝击伤害并被涡流卷入直到此法术结束。若豁免成功，该生物只受到一半的伤害，且不会被涡流卷入。一个被涡流卷入的生物可以使用它的动作以上述的方式尝试游泳远离涡流，但它在这么做的时候将在力量（运动）检定中承受劣势。当一个物体在每个回合中第一次进入该涡流时，该物体将受到2d8钝击伤害；这个伤害也会在它留在涡流中的每一轮发生。",""
